Spanish,English
madre,mother
hoy,today
quien,who
sido,been
mamá,mother
tienen,have
luego,soon
todas,all
allí,there
toda,all
hora,time
mujer,woman
visto,viewed
haces,you do
importa,import
contigo,with you
ve,go
tarde,afternoon
oye,Hey
parte,part
haber,to have
hombres,mens
problema,trouble
mas,more
saber,to know
quería,wanted
aún,still
veces,times
nuestra,our
hacerlo,do it
cada,every
hizo,made
veo,I see
tanto,so much
razón,reason
ustedes,your
idea,idea
esos,those
van,go
quizá,perhaps
debo,I must
alguna,some
cierto,true
ud,You
muerto,dead
unos,some
estos,these
salir,leave
policía,policeman
realmente,Really
demasiado,too
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,sweetie
lado,side
allá,there
entre,Come in
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,watch out
pasó,He passed
buenas,good
somos,are
amor,love
puerta,door
ves,you see
vaya,Wow
ah,ah
suerte,lucky
eh,Hey
rápido,Quick
cuenta,bill
quizás,maybe
esas,those
pues,then
pasado,last
pensé,I thought
todavía,yet
hermano,brother
debes,you must
casi,almost
forma,shape
aqui,here
chico,guy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,inside
hice,I did
contra,against
auto,car
camino,way
ayuda,help
primera,first
hacia,toward
vi,saw
miedo,afraid
adiós,goodbye
primero,first
debería,it should
poder,can
niños,kids
sería,would
historia,history
hey,Hey
mientras,while
ciudad,city
dijiste,said
espero,I hope
cuánto,how much
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,we must
deja,let
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,mad
problemas,problems
mano,hand
guerra,war
semana,week
pasar,pass
vale,OK
cuál,which one
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,people
capitán,captain
adelante,go ahead
niño,kid
listo,clever
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,close
otros,others
sigue,go on
grande,big
arriba,up
jefe,boss
habla,speaks
supongo,I suppose
manera,way
quieren,They want.
feliz,happy
significa,it means
sangre,blood
fin,end
bajo,under
llama,calls
venir,come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listens
entrar,get in
ningún,No.
corazón,heart
diablos,Devils
necesitamos,need
atrás,behind
durante,during
dices,You say
nuestros,our
persona,person
abajo,down
dr,Dr.
hija,daughter
dejar,let
necesita,needs to
llegar,to get
hago,do
señora,Ms
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,Earth
cara,expensive
siquiera,even
genial,brilliant
cree,CREE.
supuesto,assumption
tomar,drink
equipo,team
justo,just
juego,play
ninguna,none
matar,kill
cinco,five
dicen,they say
amo,love
cuándo,when
pequeño,little
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nail
muchos,Many
hubiera,had
segundo,second
aunque,even if
pueda,can.
dime,tell me
igual,same
comida,food
ay,Oh
cuerpo,body
encontrar,meet
fuerte,strong
vuelta,lap
venga,come on
creer,to believe
realidad,reality
saben,Saben
puta,bitch
deberías,you should
pregunta,question
fui,I was
cuatro,four
sra,Ms
primer,first
trabajar,work
e,and
hagas,you do
alto,tall
maldita,damn
comer,to eat
número,number
dar,give
necesitas,you need
oportunidad,chance
punto,point
misma,one.
última,last.
afuera,outside
mujeres,women
pensar,to think
fueron,They were
difícil,hard
vivir,to live
paso,He passed
malo,bad
estabas,you were there
vivo,alive
haga,make
queda,is left over
hijos,sons
mayor,higher
fiesta,party
hacen,make
medio,half
algunas,some
basta,Enough
arma,weapon
vino,came
meses,months
cuarto,quarter
éste,East
escuela,school
esté,East
dólares,Dollars
tío,uncle
posible,possible
